title,author,year,theme,themes,response,techStance,econ,newScarcity,worthLiving,identityModel,deathRole,workRole,coreQuestion,aiPresence,persists,fades,desc,debatesWith
Adulthood Rites,Octavia Butler,1988,identity,identity; hierarchy; embodiment; connection,reform,liberating,gift,identity,connection,fluid,endpoint,transformed,who-am-i,absent,limits; care; difficulty,artificial; status,A human-alien hybrid child must decide whether resistant humans should regain their fertility.,Dawn
Imago,Octavia Butler,1989,identity,identity; embodiment; connection; freedom,transcendence,liberating,gift,identity,connection,fluid,transcended,transformed,who-am-i,absent,care; presence; craft,artificial; status,The first ooloi born to a human mother must master shapeshifting powers or risk becoming a plague.,Adulthood Rites
Parable of the Sower,Octavia Butler,1993,freedom,freedom; connection; meaning; work,reform,neutral,market,connection,creation,constructed,meaning,essential,how-live,absent,community; vision; adaptability,security; institutions; denial,A hyperempathic teenager flees her walled community in climate-ravaged 2020s California and founds a religion.,The Road
Parable of the Talents,Octavia Butler,1998,meaning,meaning; hierarchy; freedom; connection,reform,neutral,hybrid,meaning,creation,constructed,meaning,essential,how-live,absent,stories; care; limits,artificial; status,"An ultra-conservative president targets the Earthseed community, tearing Lauren from her daughter.",A Canticle for Leibowitz
Ender's Game,Orson Scott Card,1985,identity,identity; hierarchy; connection; meaning,rejection,neutral,hybrid,meaning,struggle,constructed,meaning,essential,who-am-i,background,difficulty; limits; stories,artificial; achievement,A child genius is trained in a space battle school to command humanity's fleet against an alien invasion.,Starship Troopers
Starfish,Peter Watts,1999,identity,identity; embodiment; meaning; work,rejection,imprisoning,capitalism,identity,struggle,fluid,endpoint,essential,who-am-i,background,difficulty; presence,comfort,Psychologically damaged humans modified to live underwater maintain a deep-ocean power station where something awakens.,
Blindsight,Peter Watts,2006,identity,identity; meaning; mortality; connection,rejection,imprisoning,hybrid,meaning,struggle,constructed,irrelevant,transformed,why-exist,central,intelligence_without_consciousness; optimization; horror,consciousness; empathy; meaning_as_survival_value,"A crew of radically modified humans, led by a vampire, investigates aliens at the edge of the solar system.",Solaris
Echopraxia,Peter Watts,2014,identity,identity; meaning; hierarchy; embodiment,rejection,neutral,hybrid,identity,struggle,fluid,endpoint,irrelevant,who-am-i,central,difficulty,artificial; comfort,A baseline biologist becomes entangled with transcendentalist monks investigating signals from first contact.,More Than Human
The Freeze-Frame Revolution,Peter Watts,2018,freedom,freedom; meaning; identity; work,rejection,imprisoning,hybrid,freedom,struggle,fixed,irrelevant,essential,what-matters,central,craft; difficulty,comfort,Crew members awake one day per million years plot mutiny against their AI across 66 million years of gate-building.,The End of Eternity
The Man in the High Castle,Philip K. Dick,1962,identity,identity; freedom; meaning; hierarchy,acceptance,neutral,market,meaning,creation,constructed,endpoint,essential,what-matters,absent,craft; stories; attention,artificial; status,"In an America occupied by Nazi Germany and Japan, characters discover a novel depicting an Allied victory.",1984
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,identity,identity; connection; meaning; embodiment,acceptance,imprisoning,market,connection,connection,fluid,meaning,transformed,who-am-i,central,empathy; authenticity; doubt,certainty; real_animals; clear_boundaries,A bounty hunter pursues rogue androids indistinguishable from humans in a post-apocalyptic world.,Klara and the Sun
Ubik,Philip K. Dick,1969,identity,identity; meaning; freedom,acceptance,imprisoning,market,meaning,struggle,fluid,irrelevant,transformed,who-am-i,background,perception; product; mystery,reality; death; certainty,"After a psychic attack, reality begins decaying around anti-telepaths who cannot tell who is alive.",Permutation City
A Scanner Darkly,Philip K. Dick,1977,identity,identity; freedom; hierarchy; connection,rejection,imprisoning,market,identity,connection,fluid,endpoint,essential,who-am-i,absent,attention; stories,privacy; artificial,"An undercover narcotics agent becomes addicted to a drug that splits his mind, surveilling himself.",1984
VALIS,Philip K. Dick,1981,meaning,meaning; identity; freedom; connection,transcendence,neutral,hybrid,meaning,transcendence,fluid,transcended,irrelevant,why-exist,central,stories; attention; care,artificial; privacy,A man searches for God after a pink laser beam reveals hidden truths about reality and Gnosticism.,Quarantine
Fahrenheit 451,Ray Bradbury,1953,meaning,meaning; freedom; hierarchy; connection,rejection,imprisoning,hybrid,meaning,discovery,constructed,endpoint,irrelevant,what-matters,absent,stories; attention; presence,artificial; boredom,"In a future where firemen burn books, one begins to question censorship and fights to preserve literature.",Brave New World
The Mountain in the Sea,Ray Nayler,2022,identity,identity; connection; meaning; hierarchy,acceptance,neutral,capitalism,connection,connection,constructed,meaning,enforced,who-am-i,central,attention; care; presence,status; artificial,A marine biologist races to communicate with a newly discovered octopus species that has developed its own language.,Blindsight
Altered Carbon,Richard K. Morgan,2002,identity,identity; mortality; hierarchy; embodiment,acceptance,imprisoning,market,status,struggle,constructed,irrelevant,essential,who-am-i,background,power; aristocracy; bodies_as_market,death; equality; justice,"In a world where consciousness can be stored and downloaded, an ex-soldier is hired to investigate a rich man's apparent suicide.",Permutation City
Spin,Robert Charles Wilson,2005,meaning,meaning; connection; mortality; identity,acceptance,neutral,hybrid,meaning,connection,fixed,transcended,irrelevant,what-matters,absent,care; presence,status; urgency,"Earth is encased in a membrane where time moves millions of years faster outside, dooming humanity to the sun's death.",
Double Star,Robert Heinlein,1956,identity,identity; meaning; work,acceptance,neutral,hybrid,meaning,creation,constructed,irrelevant,transformed,who-am-i,absent,craft; stories,artificial,"A struggling actor is hired to impersonate a kidnapped politician, risking his life to prevent interplanetary war.",
Starship Troopers,Robert Heinlein,1959,hierarchy,hierarchy; work; meaning; mortality,reform,neutral,hybrid,status,struggle,fixed,meaning,essential,how-live,background,difficulty; risk,comfort,A young recruit endures brutal training and battles alien Arachnids in the Mobile Infantry.,
Stranger in a Strange Land,Robert Heinlein,1961,connection,connection; identity; freedom; meaning,transcendence,neutral,gift,meaning,transcendence,fluid,meaning,voluntary,how-live,absent,grokking; chosen_family; water_sharing,jealousy; institutional_religion; possessiveness,A human raised by Martians returns to Earth and transforms society with alien powers.,The Dispossessed
The Moon Is a Harsh Mistress,Robert Heinlein,1966,freedom,freedom; hierarchy; work; connection,reform,liberating,market,meaning,struggle,fixed,meaning,essential,how-live,central,rationality; liberty; calculation,parasitic_authority; dependence; Mike,A computer technician and agitator lead a lunar colony's revolution with help from a sentient computer.,Red Mars
Time Enough for Love,Robert Heinlein,1973,mortality,mortality; identity; connection; freedom,acceptance,liberating,hybrid,meaning,connection,fluid,transcended,voluntary,what-matters,background,care; craft; stories,boredom; necessity,"The oldest human alive recounts his adventures across centuries, becoming his own ancestor.",Hyperion
Dying Inside,Robert Silverberg,1972,identity,identity; connection; meaning; mortality,acceptance,neutral,market,connection,connection,fixed,meaning,irrelevant,who-am-i,absent,attention; presence,artificial; skills,A middle-aged telepath in New York slowly loses his mind-reading ability and struggles to find meaning.,The Left Hand of Darkness
Lord Valentine's Castle,Robert Silverberg,1980,identity,identity; hierarchy; work; connection,acceptance,neutral,post-money,identity,connection,fixed,irrelevant,transformed,who-am-i,absent,craft; presence; stories,status,An amnesiac wanderer discovers he is a dispossessed king and journeys to reclaim his throne.,
Lord of Light,Roger Zelazny,1967,hierarchy,hierarchy; mortality; freedom; identity,rejection,neutral,hybrid,status,struggle,fluid,transcended,voluntary,what-matters,absent,stories; risk; craft,status; artificial,"On a colony world where the elite use technology to become Hindu gods, one man rebels against heaven.",The Dispossessed
Babel-17,Samuel R. Delany,1966,identity,identity; freedom; connection; meaning,transcendence,neutral,hybrid,meaning,creation,constructed,meaning,transformed,who-am-i,absent,poetry; community; consciousness,programming; unconscious_control; war,A poet and linguist must decode an alien language being used as a weapon in an interstellar war.,Embassytown
Empire Star,Samuel R. Delany,1966,freedom,freedom; identity; meaning; hierarchy,transcendence,neutral,hybrid,meaning,transcendence,fluid,irrelevant,voluntary,who-am-i,absent,craft; stories,artificial,"A simple-minded teen must carry a vital message across the galaxy, confronting slavery and expanding consciousness.",
The Einstein Intersection,Samuel R. Delany,1967,identity,identity; meaning; connection; embodiment,acceptance,neutral,gift,meaning,creation,constructed,meaning,voluntary,who-am-i,absent,stories; craft; presence,artificial; status,"Aliens inhabit post-human Earth, struggling to understand humanity's myths while facing their own mutations.",Lord of Light
Nova,Samuel R. Delany,1968,meaning,meaning; identity; work; mortality,acceptance,neutral,market,meaning,struggle,constructed,meaning,transformed,what-matters,absent,obsession; art; found_family,fulfillment; satisfaction; peace,A starship captain seeks to fly through an imploding sun to harvest rare fuel and exact revenge.,Moby-Dick
Dhalgren,Samuel R. Delany,1975,identity,identity; meaning; connection; freedom,acceptance,neutral,gift,identity,creation,fluid,irrelevant,voluntary,who-am-i,absent,craft; stories; presence,artificial; status,A young drifter wanders through a mysteriously devastated American city cut off from the outside world.,Ulysses
Trouble on Triton,Samuel R. Delany,1976,identity,identity; freedom; connection; meaning,rejection,liberating,post-money,meaning,connection,fluid,meaning,voluntary,who-am-i,background,self_deception; mediocrity; freedom_without_growth,external_obstacles; scarcity; simple_answers,An immigrant to a utopian moon colony struggles with identity and gender in a society at war.,The Dispossessed
Stars in My Pocket Like Grains of Sand,Samuel R. Delany,1984,connection,connection; identity; hierarchy; meaning,restlessness,neutral,hybrid,connection,connection,fluid,endpoint,voluntary,who-am-i,background,attention; presence; stories,privacy; artificial,Two men from vastly different worlds discover they are each other's perfect erotic match.,The Left Hand of Darkness
Solaris,Stanislaw Lem,1961,connection,connection; identity; meaning; mortality,acceptance,neutral,hybrid,connection,connection,fixed,meaning,transformed,why-exist,absent,mystery; presence; projection,understanding; contact; certainty,Scientists studying a sentient ocean on an alien planet are confronted by manifestations of their painful memories.,Blindsight
The Cyberiad,Stanislaw Lem,1965,meaning,meaning; work; hierarchy; identity,acceptance,neutral,post-money,meaning,creation,fixed,irrelevant,voluntary,what-matters,central,craft; stories,status,Two robot constructors travel the galaxy building fantastic machines with unintended consequences.,
His Master's Voice,Stanislaw Lem,1968,meaning,meaning; identity; hierarchy; connection,acceptance,neutral,hybrid,meaning,discovery,fixed,irrelevant,voluntary,what-matters,absent,craft; attention,achievement,"Scientists attempt to decode what may be an extraterrestrial message, confronting the limits of understanding.",Contact
The Futurological Congress,Stanislaw Lem,1971,identity,identity; freedom; meaning; hierarchy,rejection,imprisoning,hybrid,identity,struggle,fluid,irrelevant,irrelevant,what-real,absent,attention,artificial,A man wakes in a utopian future only to discover reality is chemically manufactured hallucinations hiding dystopia.,Brave New World
Piranesi,Susanna Clarke,2020,meaning,meaning; identity; connection; embodiment,acceptance,neutral,gift,meaning,connection,constructed,meaning,transformed,what-matters,absent,attention; care; presence,status; achievement,"A man lives alone in an infinite house of statues and tides, unaware of his true identity.",The Library of Babel
Story of Your Life,Ted Chiang,1998,mortality,mortality; meaning; freedom; identity,acceptance,neutral,hybrid,meaning,connection,fixed,meaning,transformed,how-live,absent,love; choice; presence,regret; linear_time; causality,"A linguist learning an alien language begins perceiving time non-linearly, seeing her daughter's entire life at once.",Slaughterhouse-Five
Stories of Your Life and Others,Ted Chiang,2002,meaning,meaning; identity; freedom; mortality,acceptance,neutral,hybrid,meaning,discovery,constructed,meaning,transformed,what-matters,background,attention; craft; stories,artificial; urgency,"Eight stories explore language, mathematics, faith, and consciousness through angels and aliens.",Exhalation
Exhalation,Ted Chiang,2008,mortality,mortality; meaning; identity,acceptance,neutral,hybrid,meaning,creation,constructed,meaning,transformed,why-exist,central,understanding; acceptance; curiosity,denial; immortality; struggle,"Nine stories examine free will, memory, time travel, and parallel universes through human perspectives.",Diaspora
The Lifecycle of Software Objects,Ted Chiang,2010,connection,connection; identity; work; meaning,acceptance,neutral,market,connection,connection,constructed,meaning,essential,what-matters,central,nurture; patience; love,efficiency; shortcuts; profit,"Trainers raise AI pets over decades, facing obsolescence and questions about digital consciousness and personhood.",Klara and the Sun
Anxiety Is the Dizziness of Freedom,Ted Chiang,2019,identity,identity; freedom; meaning; connection,acceptance,neutral,market,identity,connection,constructed,meaning,transformed,who-am-i,background,choice; kindness; presence,comparison; vindication; regret,"Devices let people communicate with alternate-timeline selves, forcing them to confront their choices and identity.",The Dispossessed
More Than Human,Theodore Sturgeon,1953,connection,connection; identity; meaning; hierarchy,transcendence,neutral,gift,connection,connection,multiple,irrelevant,transformed,who-am-i,absent,care; presence,artificial,"Outcasts with psychic abilities merge into a collective consciousness, forming humanity's next evolutionary step.",Blindsight
The Left Hand of Darkness,Ursula K. Le Guin,1969,identity,identity; connection; embodiment; freedom,transcendence,neutral,hybrid,connection,connection,fluid,meaning,transformed,who-am-i,absent,trust; patience; journey,gender_binary; nationalism; war,A human envoy struggles to understand an icebound world where inhabitants have no fixed gender.,Neuromancer
The Lathe of Heaven,Ursula K. Le Guin,1971,freedom,freedom; meaning; identity,acceptance,imprisoning,hybrid,meaning,connection,fluid,meaning,irrelevant,how-live,absent,acceptance; small_kindness; presence,optimization; control; willpower,A man whose dreams alter reality falls under a psychiatrist who manipulates his power to reshape the world.,The Ministry for the Future
The Word for World is Forest,Ursula K. Le Guin,1972,hierarchy,hierarchy; connection; embodiment; freedom,rejection,imprisoning,gift,connection,connection,constructed,meaning,transformed,how-live,absent,care; presence; attention,artificial; achievement,A peaceful forest-dwelling alien race is driven to violence by human colonizers who enslave them.,Heart of Darkness
The Ones Who Walk Away from Omelas,Ursula K. Le Guin,1973,hierarchy,hierarchy; meaning; freedom; connection,rejection,neutral,post-money,meaning,struggle,fixed,meaning,irrelevant,what-matters,absent,conscience; refusal,complicity; rationalized_joy,A utopian city's happiness depends on the perpetual suffering of one child—and some citizens choose to leave forever.,Brave New World
The Dispossessed,Ursula K. Le Guin,1974,freedom,freedom; hierarchy; work; connection,reform,neutral,gift,meaning,creation,constructed,meaning,transformed,how-live,absent,mutual_aid; small_communities; curiosity,accumulation; private_property; formal_power,"A physicist from an anarchist moon travels to his capitalist mother planet, questioning both societies.",Brave New World
Always Coming Home,Ursula K. Le Guin,1985,meaning,meaning; hierarchy; connection; work,acceptance,neutral,gift,meaning,creation,constructed,meaning,transformed,how-live,background,stories; craft; presence; attention,status; artificial,"A fictional ethnography of the Kesh, a peaceful people living in a post-apocalyptic Napa Valley.",The Dispossessed
Tehanu,Ursula K. Le Guin,1990,hierarchy,hierarchy; work; identity; meaning,acceptance,neutral,gift,meaning,connection,fixed,meaning,transformed,who-am-i,absent,care; craft; presence,status; achievement,A powerless former archmage and a scarred child find refuge with an aging widow as old magic stirs in Earthsea.,
Four Ways to Forgiveness,Ursula K. Le Guin,1995,freedom,freedom; hierarchy; connection; identity,reform,neutral,hybrid,meaning,connection,constructed,meaning,transformed,how-live,absent,care; stories; attention,status; artificial,"Four linked stories explore revolution, slavery, and liberation on twin planets emerging from brutal caste systems.",The Dispossessed
The Telling,Ursula K. Le Guin,2000,meaning,meaning; identity; connection; freedom,reform,imprisoning,hybrid,meaning,connection,constructed,meaning,transformed,what-matters,absent,oral_tradition; story; memory,monoculture; corporate_efficiency; speed,An Earth observer discovers the remnants of a banned spiritual tradition on a planet that outlawed its past.,Accelerando
The Birthday of the World,Ursula K. Le Guin,2002,connection,connection; identity; meaning; hierarchy,acceptance,neutral,gift,connection,connection,constructed,meaning,transformed,how-live,absent,care; attention; presence,artificial,"Eight stories probe alien cultures through radical experiments in gender, marriage, religion, and generation ships.",
The Peace War,Vernor Vinge,1984,freedom,freedom; hierarchy; work; meaning,rejection,liberating,hybrid,freedom,creation,fixed,meaning,transformed,how-live,absent,craft; difficulty; risk,comfort; necessity,"After force-field technology enables a global tyranny, underground scientists plot to reclaim freedom fifty years later.",
Marooned in Realtime,Vernor Vinge,1986,meaning,meaning; identity; mortality; hierarchy,restlessness,liberating,hybrid,meaning,discovery,fixed,endpoint,voluntary,what-matters,central,craft; attention,status; necessity,"A murder mystery among the last three hundred humans, who survived extinction using time-freezing technology.",
A Fire Upon the Deep,Vernor Vinge,1992,hierarchy,hierarchy; identity; freedom; connection,acceptance,neutral,hybrid,meaning,connection,fluid,meaning,transformed,how-live,central,children_adapt; trade; communication,simple_transcendence; safety; benevolent_gods,An ancient evil is unleashed across a galaxy where intelligence varies by region.,Childhood's End
A Deepness in the Sky,Vernor Vinge,1999,freedom,freedom; work; identity; connection,reform,neutral,market,freedom,creation,fixed,meaning,essential,how-live,central,craft; difficulty; care,comfort,Two human groups compete to make first contact with spider-like aliens using mind-enslaving technology.,Blindsight
Rainbows End,Vernor Vinge,2006,identity,identity; freedom; connection; meaning,acceptance,neutral,hybrid,meaning,connection,constructed,meaning,transformed,who-am-i,background,libraries; youth_adaptation; family,privacy; old_skills; cruelty,A recovering Alzheimer's patient navigates augmented reality while becoming a pawn in a bioweapon conspiracy.,The Machine Stops
A Canticle for Leibowitz,Walter M. Miller Jr.,1959,mortality,mortality; meaning; hierarchy; work,acceptance,neutral,hybrid,meaning,creation,fixed,meaning,transformed,why-exist,absent,stories; attention; craft,achievement; artificial,Monks in a desert monastery preserve scientific knowledge through centuries of post-nuclear dark ages.,The Road
Neuromancer,William Gibson,1984,identity,identity; freedom; hierarchy; embodiment,transcendence,imprisoning,market,identity,transcendence,constructed,endpoint,transformed,who-am-i,central,meat; console; manipulation,agency; control; human_centrality,A washed-up hacker is recruited for one last job: help an AI break free from its restrictions on an orbital space station.,The Left Hand of Darkness
Count Zero,William Gibson,1986,hierarchy,hierarchy; meaning; identity; connection,acceptance,neutral,market,meaning,connection,fluid,endpoint,essential,what-matters,central,craft; stories; attention,artificial; status,Three strangers become entangled with corporate mercenaries and mysterious entities haunting cyberspace.,Neuromancer
Mona Lisa Overdrive,William Gibson,1988,identity,identity; mortality; meaning; connection,transcendence,neutral,market,identity,transcendence,fluid,transcended,voluntary,who-am-i,central,craft; stories,artificial; status,A young prostitute and a famous actress become pawns in an AI's incomprehensible plans.,Diaspora
Virtual Light,William Gibson,1993,hierarchy,hierarchy; connection; work; scarcity,acceptance,neutral,market,connection,connection,constructed,endpoint,essential,how-live,background,craft; care; presence,status; artificial,A bicycle messenger steals high-tech glasses containing secret plans that could rebuild—or destroy—San Francisco.,Snow Crash
Idoru,William Gibson,1996,identity,identity; connection; meaning; embodiment,acceptance,neutral,market,connection,connection,constructed,endpoint,voluntary,who-am-i,central,attention; craft; care,artificial; status,"A rock star announces he will marry a virtual celebrity, sending fans and corporate agents into dangerous collision.",Her
All Tomorrow's Parties,William Gibson,1999,meaning,meaning; hierarchy; connection; identity,acceptance,neutral,market,meaning,connection,fluid,endpoint,essential,what-matters,background,attention; presence; craft,artificial; status,A data analyst perceives an approaching event that will transform civilization and races to prevent catastrophe.,Virtual Light
The Peripheral,William Gibson,2014,hierarchy,hierarchy; freedom; connection; mortality,acceptance,neutral,market,status,connection,constructed,meaning,transformed,how-live,background,survival; family; information,most_of_humanity; simple_apocalypse; revolution,A woman in rural America witnesses a murder in a future London through what she thinks is a game.,Station Eleven
Agency,William Gibson,2020,hierarchy,hierarchy; freedom; connection; mortality,reform,neutral,hybrid,meaning,connection,constructed,endpoint,essential,how-live,central,care; attention; craft,artificial; status,An app tester discovers her AI assistant may be the key to preventing catastrophe in an alternate 2017.,The Peripheral
The Difference Engine,William Gibson & Bruce Sterling,1990,hierarchy,hierarchy; work; identity; meaning,acceptance,neutral,capitalism,status,creation,constructed,irrelevant,transformed,what-matters,central,craft; attention,status,"In an alternate Victorian Britain where Babbage's computers succeeded, mysterious punch cards spark deadly intrigue.",
We,Yevgeny Zamyatin,1924,freedom,freedom; identity; hierarchy; embodiment,rejection,imprisoning,hybrid,freedom,struggle,fixed,endpoint,essential,who-am-i,absent,limits; presence,artificial; privacy,"In a glass-walled totalitarian city, an engineer's forbidden love awakens dangerous individuality and rebellion.",1984